category,name,contact_person,phone,location,lat,lon,hours,shift,notes
control_room,"Sonpur Mela Control Room (District Administration, Saran)","","06158-221084","Saran District Administration / Sonpur Mela grounds",,,24x7,"","VERIFY BEFORE 2026 MELA. Found via web search citing saran.nic.in; the same number recurs on multiple years' district pages (a 2023-dated page and general Mela pages), suggesting it may be a standing line reused each year. Could not fetch saran.nic.in directly to confirm a 2026 refresh (blocked in this environment) — call ahead of Nov 2026 to confirm before publishing to the public. Source: https://saran.nic.in/control-room-sonepur-mela-2023/"
control_room,"PHED Control Room (Drinking Water Supply)","Executive Engineer, PHED","8544428578","Sonpur Mela grounds",,,24x7,"","MODERATE CONFIDENCE. Found via web search citing saran.nic.in's Mela control room page, which lists departmental contacts including a PHED Executive Engineer for drinking water. Could not fetch the page directly to confirm currency for 2026 (blocked in this environment) — reconfirm before publishing."
control_room,"DUMMY-TEST-DATA - Electricity Control Room","DUMMY-TEST-DATA - Electrical Executive Engineer","DUMMY-000-0000003","DUMMY-TEST-DATA - Sonpur Mela grounds",,,24x7,"","FAKE DATA FOR PIPELINE TESTING ONLY - NOT REAL. Web search confirmed an electricity department desk exists as part of the Mela control room structure, but no specific name/number surfaced. Get the real current contact from the district administration or Bihar State Power (Holding) Company before this row can go live."
medical,"Ambulance Service (National Helpline)","","108","Dispatched to Sonpur Mela grounds on call",,,24x7,"","India's standard ambulance emergency number - stable nationwide, not Mela-specific, safe to treat as always current."
medical,"Medical Camp - Harihar Nath Mandir Gate (outer)","","","Outside Harihar Nath Mandir main gate, Sonpur Mela grounds",,,"Mela hours","","RECURRING LOCATION, PHONE NOT VERIFIED. This camp site is named on saran.nic.in's medical camp page across multiple recent years. Specific attending doctor and any direct camp phone line rotate every Mela season - confirm current staffing/number with District Health Society, Saran (dhssaran.org) before 2026."
medical,"Medical Camp - Harihar Nath Mandir Gate (inner)","","","Inside Harihar Nath Mandir gate, Sonpur Mela grounds",,,"Mela hours","","RECURRING LOCATION, PHONE NOT VERIFIED. Same caveat as the outer gate camp - reconfirm staffing/number with District Health Society, Saran before 2026."
medical,"Temporary Hospital - Kali Ghat","","","Kali Ghat, Sonpur Mela grounds",,,24x7,"","RECURRING LOCATION, PHONE NOT VERIFIED. Named as a temporary hospital site on saran.nic.in in recent years. Reconfirm with District Health Society, Saran before 2026."
veterinary,"Veterinary Camp - Cow Ward","","","Cow Ward, Sonpur Mela livestock grounds",,,"Mela hours","","RECURRING LOCATION, PHONE NOT VERIFIED. Named on saran.nic.in's veterinary camp page. The 2024 Mela In-charge was Dr. Alok Singh (per saran.nic.in) - assignments rotate yearly, reconfirm current in-charge/number with the Animal Husbandry Dept before 2026. See the shift-wise DUMMY-TEST-DATA rows below for the intended data shape once a real roster is available."
veterinary,"DUMMY-TEST-DATA - Veterinary Camp - Cow Ward (Morning Shift)","DUMMY-TEST-DATA - Dr. Test Kumar","DUMMY-000-0000004","Cow Ward, Sonpur Mela livestock grounds",,,"06:00-14:00","Morning","FAKE DATA FOR PIPELINE TESTING ONLY - NOT REAL. Demonstrates the shift-wise doctor/mobile shape requested. Get the real shift roster from the Animal Husbandry Dept before this row can go live."
veterinary,"DUMMY-TEST-DATA - Veterinary Camp - Cow Ward (Evening Shift)","DUMMY-TEST-DATA - Dr. Test Sharma","DUMMY-000-0000005","Cow Ward, Sonpur Mela livestock grounds",,,"14:00-22:00","Evening","FAKE DATA FOR PIPELINE TESTING ONLY - NOT REAL. Same caveat as the morning-shift row above."
veterinary,"Veterinary Camp - Bail Bazar (bullock market)","","","Bail Bazar, Sonpur Mela livestock grounds",,,"Mela hours","","RECURRING LOCATION, PHONE NOT VERIFIED. Same caveat - reconfirm before 2026."
veterinary,"Veterinary Camp - Elephant Bazar","","","Elephant Bazar (Haathi Bazaar), Sonpur Mela grounds",,,"Mela hours","","RECURRING LOCATION, PHONE NOT VERIFIED. Note: elephant TRADING has been prohibited here since 2004 under the Wildlife Protection Act; this remains a named site/attraction. Reconfirm veterinary staffing before 2026."
