"where","key","english","hindi","ok (Y/N)","better hindi","reviewer"
"core template","btn_helpful","👍 Helpful","👍 उपयोगी","","",""
"core template","btn_lang_other","🌐 हिंदी","🌐 English","","",""
"core template","btn_menu","🏠 Menu","🏠 मेनू","","",""
"core template","btn_not_helpful","👎 Not helpful","👎 उपयोगी नहीं","","",""
"core template","error_apology","Sorry, something went wrong. Please try again or type ""menu"".","माफ़ कीजिए, कुछ गड़बड़ हो गई। कृपया दोबारा कोशिश करें या ""मेनू"" लिखें।","","",""
"core template","feedback_prompt","Was this helpful?","क्या यह जानकारी उपयोगी थी?","","",""
"core template","feedback_thanks","Thank you! Your feedback helps us improve the service.","धन्यवाद! आपकी राय से हमें सेवा बेहतर करने में मदद मिलती है।","","",""
"core template","lang_switched","Language changed: English","भाषा बदल दी गई: हिंदी","","",""
"core template","menu_button","Services","सेवाएँ","","",""
"core template","menu_prompt","What would you like to know? Please choose below.","आप क्या जानना चाहते हैं? नीचे से चुनें।","","",""
"core template","menu_section","Services","सेवाएँ","","",""
"core template","not_allowed","This option is not available to you.","यह विकल्प आपके लिए उपलब्ध नहीं है।","","",""
"core template","not_understood","Sorry, I did not understand that. Please choose from the menu.","माफ़ कीजिए, मैं समझ नहीं पाया। कृपया मेनू से चुनें।","","",""
"core template","rate_limited","You are sending messages very quickly. Please try again in a few minutes.","आप बहुत तेज़ी से संदेश भेज रहे हैं। कृपया कुछ मिनट बाद फिर कोशिश करें।","","",""
"core template","unsupported","Sorry, I can only understand typed messages and button taps for now. Please type or choose from the menu.","माफ़ कीजिए, मैं अभी केवल लिखे हुए संदेश और बटन समझ सकता हूँ। कृपया टाइप करें या मेनू से चुनें।","","",""
"core template","welcome_notice","Namaste! This is the Saran District Administration WhatsApp service. Your number and messages are stored securely to improve the service; your location is never stored.","नमस्ते! यह सारण ज़िला प्रशासन की WhatsApp सेवा है। सेवा बेहतर करने के लिए आपका नंबर और संदेश सुरक्षित रूप से सहेजे जाते हैं; आपकी लोकेशन कभी सहेजी नहीं जाती।","","",""
"mela category","thana","Police stations","पुलिस थाना","","",""
"mela category (one)","thana","police station","पुलिस थाना","","",""
"mela category","health_centre","Health centres","स्वास्थ्य केंद्र","","",""
"mela category (one)","health_centre","health centre","स्वास्थ्य केंद्र","","",""
"mela category","vet_camp","Veterinary camps","पशु चिकित्सा शिविर","","",""
"mela category (one)","vet_camp","veterinary camp","पशु चिकित्सा शिविर","","",""
"mela category","parking","Parking","पार्किंग","","",""
"mela category (one)","parking","parking","पार्किंग","","",""
"mela category","ghat","Ghats","घाट","","",""
"mela category (one)","ghat","ghat","घाट","","",""
"mela category","accommodation","Accommodation","ठहरने की जगह","","",""
"mela category (one)","accommodation","accommodation","ठहरने की जगह","","",""
"mela category","toilet_water","Toilets & water","शौचालय व पानी","","",""
"mela category (one)","toilet_water","toilet / water point","शौचालय / पानी","","",""
"mela category","lost_found","Lost & found","खोया-पाया","","",""
"mela category (one)","lost_found","lost & found desk","खोया-पाया केंद्र","","",""
"mela category","help_desk","Help desks","सहायता केंद्र","","",""
"mela category (one)","help_desk","help desk","सहायता केंद्र","","",""
"mela screen","mela.js:91","Shift ${sh.no}, ${sh.start}–${sh.end}","पाली ${sh.no}, ${sh.start}–${sh.end}","","",""
"mela screen","mela.js:120","≈${v}","लगभग ${v}","","",""
"mela screen","mela.js:185","🏠 Menu","🏠 मेनू","","",""
"mela screen","mela.js:222","🎪 *Sonpur Mela* – what would you like to know?\n(Type *english* / *हिंदी* to change language)","🎪 *सोनपुर मेला* – आप क्या जानना चाहते हैं?\n(भाषा बदलने के लिए *english* / *हिंदी* लिखें)","","",""
"mela screen","mela.js:226","Choose","चुनें","","",""
"mela screen","mela.js:227","Sonpur Mela","सोनपुर मेला","","",""
"mela screen","mela.js:238","*Programme – ${fmtDate(today, 'en')}*","*कार्यक्रम – ${fmtDate(today, 'hi')}*","","",""
"mela screen","mela.js:242","No programme is listed for today.\nNext: *${fmtDate(next.date, 'en')}* – ${eventLine(next, lang).slice(2)}","आज के लिए कोई कार्यक्रम सूचीबद्ध नहीं है।\nअगला: *${fmtDate(next.date, 'hi')}* – ${eventLine(next, lang).slice(2)}","","",""
"mela screen","mela.js:244","The programme schedule will be announced soon.","कार्यक्रम की सूची जल्द जारी की जाएगी।","","",""
"mela screen","mela.js:246","📅 Full schedule","📅 पूरा कार्यक्रम","","",""
"mela screen","mela.js:255","The programme schedule will be announced soon.","कार्यक्रम की सूची जल्द जारी की जाएगी।","","",""
"mela screen","mela.js:264","📅 *Sonpur Mela programme*","📅 *सोनपुर मेला कार्यक्रम*","","",""
"mela screen","mela.js:265","Anything else?","और कुछ?","","",""
"mela screen","mela.js:271","☎️ *Mela control room:* ${nums.join(', ')}","☎️ *मेला कंट्रोल रूम:* ${nums.join(', ')}","","",""
"mela screen","mela.js:279","🚨 Emergency: 112 · Ambulance: 108","🚨 आपातकाल: 112 · एम्बुलेंस: 108","","",""
"mela screen","mela.js:293","*Officers on duty now* (${shiftLabel(sh, 'en')})","*अभी ड्यूटी पर अधिकारी* (${shiftLabel(sh, 'hi')})","","",""
"mela screen","mela.js:295","🔁 All shifts","🔁 सभी पालियाँ","","",""
"mela screen","mela.js:296","🏛️ *Sonpur Mela control room*","🏛️ *सोनपुर मेला कंट्रोल रूम*","","",""
"mela screen","mela.js:297","Anything else?","और कुछ?","","",""
"mela screen","mela.js:309","Shift ${sh.no}","पाली ${sh.no}","","",""
"mela screen","mela.js:321","This information is not available yet.","यह जानकारी अभी उपलब्ध नहीं है।","","",""
"mela screen","mela.js:324"," – on duty now (${shiftLabel(sh, 'en')})"," – अभी ड्यूटी पर (${shiftLabel(sh, 'hi')})","","",""
"mela screen","mela.js:327","📍 Nearest","📍 सबसे नज़दीक","","",""
"mela screen","mela.js:328","🔁 All shifts","🔁 सभी पालियाँ","","",""
"mela screen","mela.js:332","Anything else?","और कुछ?","","",""
"mela screen","mela.js:340","Anything else?","और कुछ?","","",""
"mela screen","mela.js:340","📋 See all","📋 सभी देखें","","",""
"mela screen","mela.js:361","The location service will start soon.","लोकेशन सेवा जल्द शुरू होगी।","","",""
"mela screen","mela.js:363","📍 What are you looking for near you?","📍 आप अपने पास क्या ढूँढ रहे हैं?","","",""
"mela screen","mela.js:363","Choose","चुनें","","",""
"mela screen","mela.js:364","Near me","मेरे पास","","",""
"mela screen","mela.js:374","The location service for ${catLabel(snap, cat, 'en').toLowerCase()} starts soon. Here is the full list:","${catLabel(snap, cat, 'hi')} के लिए लोकेशन सेवा जल्द शुरू होगी। पूरी सूची:","","",""
"mela screen","mela.js:378","Tap *Send location* to find the nearest ${catLabel(snap, cat, 'en', true)}.\nNo GPS? Type a nearby landmark instead (e.g. Kali Ghat).","नज़दीकी ${catLabel(snap, cat, 'hi', true)} जानने के लिए *Send location* दबाएँ।\nGPS नहीं है? पास की कोई जगह लिखें (जैसे काली घाट)।","","",""
"mela screen","mela.js:393","You seem to be outside the Mela area. Here is the full list:","आप मेला क्षेत्र से बाहर लगते हैं। पूरी सूची:","","",""
"mela screen","mela.js:409","Nearest ${catLabel(snap, cat, 'en', true)}","नज़दीकी ${catLabel(snap, cat, 'hi', true)}","","",""
